Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B163879,12/22/2016,,,3000 Block Of California Street,94115,2,Presidio Heights,"37.787488450967, -122.444566814597"
B163880,12/22/2016,"$38,000.00",1,1400 Block Of Broadway Street,94109,3,Russian Hill,"37.796135045968, -122.420951806797"
B163881,12/22/2016,,,200 Block Of Broad Street,94112,11,Oceanview/Merced/Ingleside,"37.7132160468721, -122.460797254125"
B163882,12/22/2016,,,200 Block Of Broad Street,94112,11,Oceanview/Merced/Ingleside,"37.7132160468721, -122.460797254125"
B163883,12/22/2016,,,200 Block Of Broad Street,94112,11,Oceanview/Merced/Ingleside,"37.7132160468721, -122.460797254125"
B163924,12/22/2016,,,600 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7584920928489, -122.434706654949"
B163872,12/21/2016,,,800 Block Of Monterey Boulevard,94127,7,West of Twin Peaks,"37.7316009075255, -122.4541733652"
B163876,12/21/2016,"$10,000.00",2,2200 Block Of Bryant Street,94110,9,Mission,"37.7580152332421, -122.409672653632"
B163858,12/19/2016,,,500 Block Of Filbert Street,94133,3,North Beach,"37.8015534128608, -122.408353057481"
B163859,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163860,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163861,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163862,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163864,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163865,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163866,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163867,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163868,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163869,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163870,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163871,12/19/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B163925,12/19/2016,,,1900 Block Of Oak Street,94117,5,Haight Ashbury,"37.7713013031832, -122.451412659823"
B163934,12/19/2016,,,1600 Block Of Hayes Street,94117,5,Lone Mountain/USF,"37.7741999231877, -122.443568815382"
B163856,12/16/2016,,,2500 Block Of 23rd Avenue,94116,4,Sunset/Parkside,"37.7400685758347, -122.479713963332"
B163857,12/16/2016,,,2200 Block Of Castro Street,94131,8,Noe Valley,"37.7437098540632, -122.433288077203"
B163853,12/15/2016,,,400 Block Of 14th Street,94103,8,Mission,"37.7680182907353, -122.42330019944"
B163854,12/15/2016,,,400 Block Of 14th Street,94103,8,Mission,"37.7680182907353, -122.42330019944"
B163855,12/15/2016,,,400 Block Of 14th Street,94103,8,Mission,"37.7680182907353, -122.42330019944"
B163849,12/14/2016,,,1200 Block Of 11th Avenue,94122,5,Inner Sunset,"37.7648834655897, -122.468586140723"
B163850,12/14/2016,,,1400 Block Of 18th Avenue,94122,7,Inner Sunset,"37.7608162667521, -122.475791240918"
B163851,12/14/2016,,,1400 Block Of 18th Avenue,94122,7,Inner Sunset,"37.7608162667521, -122.475791240918"
B163852,12/14/2016,,,1700 Block Of Broadway Street,94109,2,Pacific Heights,"37.7954756515472, -122.425889481368"
B163807,12/13/2016,,,1700 Block Of La Salle Avenue,94124,10,Bayview Hunters Point,"37.7380275006914, -122.391497205773"
B163808,12/13/2016,,,300 Block Of Grafton Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7200867006613, -122.456646177738"
