Date_Filed,Filing_Party,Appeal_ID,Hardship_Appeal,Interpreter_Request,Address,Appeal_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
02/27/2003,tenant,AT030034,false,false,1000 Block Of Post Street,94109,3,Nob Hill,"(37.7869869759604, -122.419110402158)"
09/13/2007,landlord,AL070183,false,false,1400 Block Of 19th Avenue,94122,4,Sunset/Parkside,"(37.7607582384146, -122.477052170071)"
07/28/2011,tenant,AT110079,true,false,0 Block Of Keyes Alley,94133,3,Chinatown,"(37.7966127048881, -122.410475478961)"
11/13/2002,landlord,AL020525,false,false,1200 Block Of Grove Street,94117,5,Hayes Valley,"(37.7760858591072, -122.437164935534)"
01/17/2012,landlord,AL120011,false,false,1200 Block Of Noe Street,94114,8,Noe Valley,"(37.7486244109333, -122.4316699906)"
12/23/1999,tenant,U001-80R,false,false,0 Block Of Divisadero Street,94117,8,Castro/Upper Market,"(37.768144061183, -122.436486587071)"
08/02/2005,tenant,AT050196,false,false,3900 Block Of Mission Street,94112,9,Bernal Heights,"(37.7347718331816, -122.425166809943)"
04/27/1999,landlord,T001-61A,false,false,3700 Block Of 24th Street,94114,8,Noe Valley,"(37.7517927847399, -122.426890387337)"
01/02/2009,tenant,AT090045,false,false,600 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
03/06/2012,landlord,AL120038,false,false,700 Block Of Carolina Street,94107,10,Potrero Hill,"(37.7586602449323, -122.399963346371)"
04/11/2001,tenant,AT010049,false,false,700 Block Of Church Street,94114,8,Castro/Upper Market,"(37.7584854993677, -122.428157223118)"
01/23/2012,tenant,AT120009,true,false,0 Block Of Buena Vista East Avenue,94117,,,
07/06/2004,tenant,AT040086,false,false,800 Block Of Jones Street,94109,3,Nob Hill,"(37.789055117242, -122.413703265874)"
08/15/2000,tenant,AT2K0147,false,false,653600 Block Of Bay Street,94133,2,Russian Hill,"(37.8050301528535, -122.417867154107)"
