Date,Location
12/02/2016,"37.7306545903761, -122.386831266566"
12/30/2016,"37.7575809771371, -122.422275310938"
12/12/2016,"37.7484770753713, -122.407266167461"
12/08/2016,"37.771304555295, -122.440520275428"
12/07/2016,"37.7534666763888, -122.425629017282"
12/16/2016,"37.7626294187624, -122.406174800251"
12/01/2016,"37.7581042107699, -122.421163821355"
12/19/2016,"37.7840781681273, -122.418524720932"
12/16/2016,"37.7132391318114, -122.472972400464"
06/24/2016,"37.727050746607, -122.403281820714"
12/15/2016,"37.7532046648256, -122.403889561443"
12/08/2016,"37.7720289092696, -122.442351236225"
12/02/2016,"37.7648834655897, -122.468586140723"
12/28/2016,"37.7846989219768, -122.413593512911"
12/07/2016,"37.7475834046691, -122.422555391012"
12/16/2016,"37.7205844553245, -122.48126060959"
12/02/2016,"37.7829534935842, -122.413243748704"
12/14/2016,"37.7286465773325, -122.427005249889"
12/12/2016,"37.7931487455498, -122.428793236859"
12/13/2016,"37.7874829517445, -122.43776937093"
12/01/2016,"37.7837300408323, -122.413753670274"
12/07/2016,"37.7475834046691, -122.422555391012"
12/12/2016,"37.7553117221288, -122.407456232747"
12/19/2016,"37.7551583611566, -122.436740716091"
12/30/2016,"37.7545718706336, -122.419712713805"
12/05/2016,"37.7895840675666, -122.428071912356"
12/01/2016,"37.7533043261659, -122.476491147632"
12/19/2016,"37.7411202245106, -122.498193340085"
12/16/2016,"37.7344812745743, -122.391912066786"
12/08/2016,"37.7689208498834, -122.451702521607"
12/23/2016,"37.778463384877, -122.436858959038"
12/19/2016,"37.735446184716, -122.396787161781"
12/15/2016,"37.7224256100655, -122.439619315447"
12/02/2016,"37.7999719437346, -122.424093828497"
01/17/2017,"37.7132391318114, -122.472972400464"
01/13/2017,"37.720924824352, -122.461168962549"
01/17/2017,"37.7932824231787, -122.407341354714"
01/23/2017,"37.778933787734, -122.404974448587"
01/17/2017,"37.715545052959, -122.473629919957"
01/18/2017,"37.7623981650631, -122.482348233619"
01/12/2017,"37.7120441459731, -122.440421525509"
01/06/2017,"37.764676881596, -122.457778193497"
01/26/2017,"37.7837376864231, -122.443805103085"
01/25/2017,"37.7622538589248, -122.505519518857"
01/25/2017,"37.7932824231787, -122.407341354714"
01/17/2017,"37.7166731173383, -122.474173684903"
01/19/2017,"37.7466416102933, -122.430297545767"
01/11/2017,"37.7874196526668, -122.392776012493"
01/06/2017,"37.7532984475829, -122.41422876374"
01/20/2017,"37.7331945070199, -122.38870225322"
01/17/2017,"37.7132391318114, -122.472972400464"
01/19/2017,"37.7466416102933, -122.430297545767"
01/13/2017,"37.7421961561665, -122.410102168157"
01/17/2017,"37.7175134680329, -122.48059457481"
01/17/2017,"37.7559026733631, -122.44118220349"
01/17/2017,"37.7932824231787, -122.407341354714"
01/17/2017,"37.719729984266, -122.481457965443"
01/18/2017,"37.7638872214346, -122.49118875513"
01/12/2017,"37.8000064319141, -122.404571198078"
01/23/2017,"37.7883158693016, -122.411855467011"
01/09/2017,"37.7386445602615, -122.413268253615"
01/17/2017,"37.7132391318114, -122.472972400464"
01/12/2017,"37.7870606282905, -122.441093754402"
01/13/2017,"37.7130055627714, -122.441926675697"
01/26/2017,"37.7721238469658, -122.422914601194"
01/30/2017,"37.7421010706623, -122.41971223581"
01/10/2017,"37.7260272990841, -122.433862257894"
01/09/2017,"37.7603453750433, -122.416472034969"
01/25/2017,"37.7622538589248, -122.505519518857"
01/06/2017,"37.7835654759009, -122.415051136713"
12/29/2016,"37.7142935896067, -122.444679395362"
01/19/2017,"37.7466416102933, -122.430297545767"
01/19/2017,"37.7466416102933, -122.430297545767"
01/23/2017,"37.776546928245, -122.499591775754"
01/13/2017,"37.7904044740388, -122.425777441838"
01/18/2017,"37.7647134147843, -122.491713752881"
01/11/2017,"37.7435624340364, -122.485331777458"
01/30/2017,
01/06/2017,"37.7835654759009, -122.415051136713"
01/11/2017,"37.8038216376638, -122.441990778285"
01/05/2017,"37.7793627339763, -122.459299894176"
01/17/2017,"37.7760536950881, -122.447592098321"
01/12/2017,"37.7840683016871, -122.460272496272"
01/09/2017,"37.7750447949206, -122.441136915193"
01/25/2017,"37.7622538589248, -122.505519518857"
01/05/2017,"37.7782935629962, -122.502945689316"
01/10/2017,"37.7860598453339, -122.414643592587"
01/17/2017,"37.7154753037774, -122.401777425228"
01/09/2017,"37.7135097639662, -122.448578591949"
01/11/2017,"37.7494106177948, -122.421268720739"
01/26/2017,"37.7551929291065, -122.409437551685"
01/27/2017,"37.7531163866346, -122.480762801885"
01/12/2017,"37.8000064319141, -122.404571198078"
01/27/2017,"37.7737446918116, -122.478973407656"
01/11/2017,"37.787369215724, -122.442080900934"
01/24/2017,"37.7650140898546, -122.415210524388"
01/04/2017,"37.7527995478088, -122.428723943607"
01/23/2017,"37.7267907810694, -122.404281545109"
01/26/2017,"37.8028649955895, -122.420650667916"
01/25/2017,"37.7622538589248, -122.505519518857"
01/09/2017,"37.7728449107207, -122.479374759179"
01/18/2017,"37.7623981650631, -122.482348233619"
01/20/2017,"37.7331945070199, -122.38870225322"
01/11/2017,"37.774094856555, -122.42000143655"
01/20/2017,"37.7566418456235, -122.441510152567"
01/26/2017,"37.7467495877965, -122.475390822085"
01/11/2017,"37.7837300408323, -122.413753670274"
01/20/2017,"37.7840191581616, -122.461341037155"
01/18/2017,"37.7638872214346, -122.49118875513"
01/26/2017,"37.719687495138, -122.47632781558"
